node_id,node_type,role
user01,host,user
user02,host,user
user03,host,user
user04,host,user
user05,host,user
user06,host,user
user07,host,user
user08,host,user

app01,vm,application
app02,vm,application
app03,vm,application
app04,vm,application
app05,vm,application

db01,vm,database
db02,vm,database
db03,vm,database

fileserver01,vm,fileserver
fileserver02,vm,fileserver

mail01,vm,mail
mail02,vm,mail

ad01,vm,identity
ad02,vm,identity

dns01,vm,dns
dns02,vm,dns

monitor01,vm,monitoring
log01,vm,logging

backup01,vm,backup

fw01,network_device,firewall
vpn01,network_device,vpn
