source,destination,protocol,port,connections

user01,dns01,UDP,53,300
user02,dns01,UDP,53,280
user03,dns01,UDP,53,310
user04,dns02,UDP,53,290
user05,dns02,UDP,53,305
user06,dns01,UDP,53,295
user07,dns02,UDP,53,275
user08,dns01,UDP,53,320

user01,ad01,TCP,389,200
user02,ad01,TCP,389,180
user03,ad02,TCP,389,190
user04,ad02,TCP,389,210
user05,ad01,TCP,389,220
user06,ad02,TCP,389,200
user07,ad01,TCP,389,210
user08,ad02,TCP,389,195

user01,fileserver01,TCP,445,150
user02,fileserver01,TCP,445,140
user03,fileserver02,TCP,445,130
user04,fileserver02,TCP,445,120
user05,fileserver01,TCP,445,160
user06,fileserver02,TCP,445,150

user01,mail01,TCP,993,120
user02,mail01,TCP,993,110
user03,mail02,TCP,993,130
user04,mail02,TCP,993,125

user01,app01,TCP,443,200
user02,app01,TCP,443,180
user03,app02,TCP,443,210
user04,app02,TCP,443,220
user05,app03,TCP,443,230
user06,app04,TCP,443,190
user07,app05,TCP,443,200
user08,app03,TCP,443,210

app01,db01,TCP,5432,500
app02,db01,TCP,5432,480
app03,db02,TCP,5432,510
app04,db02,TCP,5432,470
app05,db03,TCP,5432,520

app01,app02,TCP,8080,200
app02,app03,TCP,8080,180
app03,app04,TCP,8080,170
app04,app05,TCP,8080,160

app01,dns01,UDP,53,200
app02,dns01,UDP,53,200
app03,dns02,UDP,53,200

app01,ad01,TCP,389,150
app02,ad01,TCP,389,140
app03,ad02,TCP,389,150

monitor01,app01,TCP,9100,100
monitor01,app02,TCP,9100,100
monitor01,db01,TCP,9100,100
monitor01,fileserver01,TCP,9100,100

log01,app01,TCP,9200,120
log01,app02,TCP,9200,120
log01,db01,TCP,9200,120

backup01,db01,TCP,873,80
backup01,db02,TCP,873,80
backup01,fileserver01,TCP,873,80
backup01,fileserver02,TCP,873,80

vpn01,fw01,TCP,443,300
user01,vpn01,TCP,443,50
user02,vpn01,TCP,443,50
